"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9926","7.Verify Driver License accepts input","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","8656","7. Verify Directory menu visible","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","8629","5. Verify Leave menu visible","firefox","2026-06-01","passed","2026-06-01","Dashboard Module Tests","Dashboard\dashboard.spec.js","",""
"","11393","15.Verify page refresh keeps session","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","120236","14.Verify Assign Leave comment field editable","webkit","2026-06-01","broken","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","5189","16.Password field masked","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","7175","16.Password field masked","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","374","5.Verify Employee Timesheet validation","chromium","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","539","9.Verify Project Report page navigation","firefox","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","1086","15.Verify page refresh keeps session","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","12957","6.Verify Other ID accepts input","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","3770","13.Verify Add Candidate page opens","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","7628","3. Invalid password","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","9857","5.Verify Employee ID accepts input","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","1018","5.Verify reset button clickable","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","6","12.Verify Search button enabled","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","4136","12.Verify Create Login Details toggle","webkit","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","7466","7. Special characters login","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","24511","4. Empty username","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","10617","6.Verify Other ID accepts input","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","18009","2.Reset clears username field","firefox","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","11754","9.Verify Marital Status dropdown selectable","webkit","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","11663","5.Verify Employee ID accepts input","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","1978","17.Verify Contact Number accepts input","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","3445","15.Verify Last Name accepts input","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","61","3.Verify reset button visible after click","chromium","2026-06-01","passed","2026-06-01","PIM Module Tests","PIM\pim.spec.js","",""
"","879","16.Verify Time module session after refresh","webkit","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","20213","13.Cancel Add User operation","webkit","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","898","15.Verify Project Name input accepts value","webkit","2026-06-01","passed","2026-06-01","Time Module Tests","Time\time.spec.js","",""
"","8462","11. Logout","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","10","1.Verify Leave module opens","firefox","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","2788","18.Verify candidate notes field","firefox","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","1407","5.Verify From Date field editable","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","860","4.Verify My Leave page opens","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","2615","6.Verify Candidate Name accepts input","chromium","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","14857","8.Verify Nationality dropdown selectable","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","6361","17.Password field masked","webkit","2026-06-01","passed","2026-06-01","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","13898","7.Verify Driver License accepts input","firefox","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","11238","13.Cancel Add User operation","chromium","2026-06-01","passed","2026-06-01","Admin Functional Tests","Admin\admin.spec.js","",""
"","1026","3.Verify Comment field accepts input","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","17419","7. Special characters login","chromium","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","31","13.Verify KPI input accepts value","firefox","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","22240","4.Verify Last Name accepts input","chromium","2026-06-01","passed","2026-06-01","My Info Module Tests","My Info\myinfo.spec.js","",""
"","5984","4. Empty username","firefox","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","3608","15.Verify Last Name accepts input","webkit","2026-06-01","passed","2026-06-01","Recruitment Module Tests","Recruitment\recruitment.spec.js","",""
"","7560","9. Forgot password navigation","webkit","2026-06-02","passed","2026-06-02","OrangeHRM Login tests","Authentication\auth.spec.js","",""
"","3880","8.Verify Reset button clickable","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","957","8.Verify Status dropdown selectable","webkit","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","465","6.Verify To Date field editable","chromium","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
"","415","12.Verify KPI mandatory validation","chromium","2026-06-01","passed","2026-06-01","Performance Module Tests","Performance\performance.spec.js","",""
"","880","5.Verify From Date field editable","webkit","2026-06-01","passed","2026-06-01","Leave Module Functionality Tests","Leave\leave.spec.js","",""
