"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","10.Verify reset button visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","4158","6. Empty fields","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","5846","4. Empty username","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","7358","14.Verify reset button clickable","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","7821","15.Verify page refresh keeps session","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","3554","20.Verify page refresh keeps session","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","17747","16.Verify dashboard fully loads","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","6","17.Verify reset button enabled","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","8579","18.Refreshes keeps user on login page","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","4418","6. Empty fields","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","7370","14.Verify reset button clickable","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","10800","13.Verify search box visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","4622","13.Password field visible","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","12554","14.Verify search box is enables","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","62","9.Verify PIM URL","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","5","6.Verify employee name field visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","7284","19.Verify search clear","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","38","18.Verify Leave navigation URL","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","3147","16.Verify Add Employee page opens","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","4747","14.Login button visible","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","17","12.Verify employee name accepts input","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","28531","7.Verify Leave navigation","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","9","11.Verify table visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","6","10.Verify reset button visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","11965","1. Valid login","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","4486","15.Username field accepts input","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","3","17.Verify reset button enabled","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","3","7.Verify employee list table visible","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","12","11.Verify table visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","12","10.Verify reset button visible","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","9424","2. Invalid username","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","16110","6.Verify Leave menu visible","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","6441","18.Refreshes keeps user on login page","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","3650","14.Verify reset button clickable","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","2872","8.Verify records found text visible","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","8844","20.Verify search box placeholder","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","23895","6.Verify Leave menu visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","3928","16.Verify Add Employee page opens","chromium","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","685","15.Verify reset button functionality","webkit","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","99","10.Verify employee name accepts input","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","4","9.Verify search button visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","11666","3. Invalid password","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","49","15.Verify reset button functionality","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","6532","14.Login button visible","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","10713","16.Verify dashboard fully loads","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","8847","7. Special characters login","firefox","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","12305","17.Verify search box is enabled","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","25241","5.Verify Admin navigation","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","22701","10.Verify recruitment menu visible","firefox","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","5467","14.Login button visible","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","19","14.Verify to date accepts input","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","12138","3. Invalid password","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","20652","14.Verify search box is enables","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","4","5.Verify Configure tab visible","chromium","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
"","25","11.Verify employee ID accepts input","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","7505","18.Verify search accepts input","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","30305","9.Verify Directory navigation","webkit","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","10122","2. Invalid username","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","8803","13.Verify Add Employee navigation","webkit","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","5341","5. Empty password","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","11709","3. Invalid password","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","14888","3.Verify user dropdown visible","chromium","2026-05-29","passed","2026-05-29","Dashboard Module Tests","Dashboard/dashboard.spec.js","",""
"","256","9.Verify PIM URL","firefox","2026-05-29","passed","2026-05-29","PIM Module Tests","PIM/pim.spec.js","",""
"","4041","12.Username field visible","webkit","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","7707","18.Refreshes keeps user on login page","chromium","2026-05-29","passed","2026-05-29","OrangeHRM Login tests","Authentication/auth.spec.js","",""
"","9","9.Verify search button visible","firefox","2026-05-29","passed","2026-05-29","Leave Module Tests","Leave/leave.spec.js","",""
